city,state_id,state_name,county_fips,county_name,zips
Shoreham,MI,Michigan,26021,Berrien,49085
Ellenboro,NC,North Carolina,37161,Rutherford,28040
North Walpole,NH,New Hampshire,33005,Cheshire,3609
Flushing,OH,Ohio,39013,Belmont,43977
Luthersville,GA,Georgia,13199,Meriwether,30251
Sully,IA,Iowa,19099,Jasper,50251
McCammon,ID,Idaho,16005,Bannock,83250
Utica,NE,Nebraska,31159,Seward,68456
Spring Hill,PA,Pennsylvania,42021,Cambria,15946
Richland,MI,Michigan,26077,Kalamazoo,49083
Footville,WI,Wisconsin,55105,Rock,53537 53548
Marrowstone,WA,Washington,53031,Jefferson,98358
Chester Hill,PA,Pennsylvania,42033,Clearfield,16866
Stoddard,WI,Wisconsin,55123,Vernon,54658
Doniphan,NE,Nebraska,31079,Hall,68832
Magazine,AR,Arkansas,5083,Logan,72943
Lamboglia,PR,Puerto Rico,72109,Patillas,723
Chula Vista,TX,Texas,48507,Zavala,78839
St. Joseph,TN,Tennessee,47099,Lawrence,38481
New Union,AL,Alabama,1055,Etowah,35956
Harwood,ND,North Dakota,38017,Cass,58042
Au Gres,MI,Michigan,26011,Arenac,48703
Fabrica,TX,Texas,48323,Maverick,78852
Edmundson,MO,Missouri,29189,St. Louis,63134
Tatum,NM,New Mexico,35025,Lea,88267
Owensville,OH,Ohio,39025,Clermont,45160 45103
Brimfield,IL,Illinois,17143,Peoria,61517
La Fontaine,IN,Indiana,18169,Wabash,46940
Dayton,WY,Wyoming,56033,Sheridan,82836
Onaway,MI,Michigan,26141,Presque Isle,49765
Cheyenne Wells,CO,Colorado,8017,Cheyenne,80810
St. Ignatius,MT,Montana,30047,Lake,59865
Winslow,IN,Indiana,18125,Pike,47598
Pleasant Hills,OH,Ohio,39061,Hamilton,45231
Attica,MI,Michigan,26087,Lapeer,48412
Esmont,VA,Virginia,51003,Albemarle,22937
Crawford,TX,Texas,48309,McLennan,76638
Arena,WI,Wisconsin,55049,Iowa,53503
Sand Springs,TX,Texas,48227,Howard,79720 79511
Jacksons' Gap,AL,Alabama,1123,Tallapoosa,36861
Baconton,GA,Georgia,13205,Mitchell,31716
Clay City,IN,Indiana,18021,Clay,47841
New Deal,TX,Texas,48303,Lubbock,79350 79403 79415
Pigeon Creek,OH,Ohio,39153,Summit,44321
Blue Ball,PA,Pennsylvania,42071,Lancaster,17557 17519 17506
Coffeeville,MS,Mississippi,28161,Yalobusha,38922
Sarepta,LA,Louisiana,22119,Webster,71071
Smithfield,PA,Pennsylvania,42051,Fayette,15478
Highland,WI,Wisconsin,55049,Iowa,53543
Brownsville,KY,Kentucky,21061,Edmonson,42210
Island Pond,VT,Vermont,50009,Essex,5846
New Berlin,PA,Pennsylvania,42119,Union,17855
Mortons Gap,KY,Kentucky,21107,Hopkins,42431 42440 42442
Brookport,IL,Illinois,17127,Massac,62910
Holly Pond,AL,Alabama,1043,Cullman,35055 35083
Stephenson,MI,Michigan,26109,Menominee,49887
Eureka,SD,South Dakota,46089,McPherson,57437
Crab Orchard,KY,Kentucky,21137,Lincoln,40419
Middlesex,NC,North Carolina,37127,Nash,27557
Hopedale,IL,Illinois,17179,Tazewell,61747
Elrod,NC,North Carolina,37155,Robeson,28383
Mesita,NM,New Mexico,35006,Cibola,87026
San Felipe,TX,Texas,48015,Austin,77474 77473
Dakota City,IA,Iowa,19091,Humboldt,50548 50529
St. Clair,MN,Minnesota,27013,Blue Earth,56001 56080
Norris,SC,South Carolina,45077,Pickens,29630 29667 29657
Pittsville,WI,Wisconsin,55141,Wood,54466
Greenville,FL,Florida,12079,Madison,32331
Magnolia Springs,AL,Alabama,1003,Baldwin,36535 36555
Juniata,NE,Nebraska,31001,Adams,68955
Occidental,CA,California,6097,Sonoma,95472 95465
Beckville,TX,Texas,48365,Panola,75631
Notasulga,AL,Alabama,1087,Macon,36866
Fort Loudon,PA,Pennsylvania,42055,Franklin,17224
Langley,OK,Oklahoma,40097,Mayes,74350
Veyo,UT,Utah,49053,Washington,84782
Roy,WA,Washington,53053,Pierce,98580
Brookfield,NJ,New Jersey,34041,Warren,7823
Rockford,IA,Iowa,19067,Floyd,50468
Bellefonte,KY,Kentucky,21089,Greenup,41101
Garibaldi,OR,Oregon,41057,Tillamook,97118
Russellville,MO,Missouri,29051,Cole,65074
Polkville,MS,Mississippi,28129,Smith,39117
Lake Andes,SD,South Dakota,46023,Charles Mix,57356
Hazelton,ID,Idaho,16053,Jerome,83335
Gray Court,SC,South Carolina,45059,Laurens,29645
Rising Star,TX,Texas,48133,Eastland,76471
Cowiche,WA,Washington,53077,Yakima,98923
Mossyrock,WA,Washington,53041,Lewis,98564
Arlington,WI,Wisconsin,55021,Columbia,53911
Santa Clara Pueblo,NM,New Mexico,35039,Rio Arriba,87532
Rockwood,PA,Pennsylvania,42111,Somerset,15557
Pomona,KS,Kansas,20059,Franklin,66076
Colo,IA,Iowa,19169,Story,50056
Emmonak,AK,Alaska,2158,Kusilvak,99581
Fertile,MN,Minnesota,27119,Polk,56540
Belle Center,OH,Ohio,39091,Logan,43310
Claysville,PA,Pennsylvania,42125,Washington,15323
East Camden,AR,Arkansas,5103,Ouachita,71701
Penryn,CA,California,6061,Placer,95663 95650
Potomac Park,MD,Maryland,24001,Allegany,21502
Purple Sage,WY,Wyoming,56037,Sweetwater,82901
Waynesfield,OH,Ohio,39011,Auglaize,45896
La Jara,CO,Colorado,8021,Conejos,81140
Greenville,CA,California,6063,Plumas,95947
Crowell,TX,Texas,48155,Foard,79227
Newton,UT,Utah,49005,Cache,84327
Candor,NC,North Carolina,37123,Montgomery,27229 27209
Humphrey,NE,Nebraska,31141,Platte,68642
Weidman,MI,Michigan,26073,Isabella,48893
Lafitte,LA,Louisiana,22051,Jefferson,70067
Redfield,IA,Iowa,19049,Dallas,50233
Avoca,IN,Indiana,18093,Lawrence,47420 47421 47462
Killona,LA,Louisiana,22089,St. Charles,70057
Woods Hole,MA,Massachusetts,25001,Barnstable,02543 02540
Mankato,KS,Kansas,20089,Jewell,66956
Syracuse,OH,Ohio,39105,Meigs,45779 45771
Friedensburg,PA,Pennsylvania,42107,Schuylkill,17972 17933
Juno Ridge,FL,Florida,12099,Palm Beach,33408
Castalia,OH,Ohio,39043,Erie,44824
Afton,IA,Iowa,19175,Union,50830
Wilson,AR,Arkansas,5093,Mississippi,72395
Red Butte,WY,Wyoming,56025,Natrona,82604
Lime Lake,NY,New York,36009,Cattaraugus,14042 14101
Silver Lake,MN,Minnesota,27085,McLeod,55381
Brunswick,MO,Missouri,29041,Chariton,65236
Potlatch,ID,Idaho,16057,Latah,83855
Rural Valley,PA,Pennsylvania,42005,Armstrong,16222 16249
Downs,KS,Kansas,20141,Osborne,67437
Sycamore,OH,Ohio,39175,Wyandot,44882
Atlas,PA,Pennsylvania,42097,Northumberland,17851
Epps,LA,Louisiana,22123,West Carroll,71237
Pioneer Junction,MT,Montana,30053,Lincoln,59923
Park City,MT,Montana,30095,Stillwater,59063
Shickshinny,PA,Pennsylvania,42079,Luzerne,18655
Jetmore,KS,Kansas,20083,Hodgeman,67854
Ringwood,IL,Illinois,17111,McHenry,60072
Oakley,ID,Idaho,16031,Cassia,83346
Ridge Farm,IL,Illinois,17183,Vermilion,61870
Pleasantville,PA,Pennsylvania,42121,Venango,16341
Peconic,NY,New York,36103,Suffolk,11971 11958
Van Buren,IN,Indiana,18053,Grant,46991
Gurley,AL,Alabama,1089,Madison,35748
Adair,OK,Oklahoma,40097,Mayes,74330
La Veta,CO,Colorado,8055,Huerfano,81055
Altheimer,AR,Arkansas,5069,Jefferson,72004
Argyle,WI,Wisconsin,55065,Lafayette,53504
Loch Lloyd,MO,Missouri,29037,Cass,64012
Selma,IN,Indiana,18035,Delaware,47383 47302
Oreana,IL,Illinois,17115,Macon,62554
Morgandale,OH,Ohio,39155,Trumbull,44483
Milltown,IN,Indiana,18025,Crawford,47145 47115
Hamel,IL,Illinois,17119,Madison,62046 62097
Mulga,AL,Alabama,1073,Jefferson,35005 35118
